ticker,classe_papel,primeiro_pregao,ultimo_pregao,n_pregoes,emissor_isin,isin,nome_no_pregao
ACES4,acao,2005-01-03,2008-04-24,817,ACES,BRACESACNPR2,ACESITA
ALLL11,unit_etf_fii,2007-08-01,2010-10-21,796,ALLL,BRALLLCDAM10,ALL AMER LAT
GLOB3,acao,2006-04-12,2012-03-27,787,GLOB,BRGLOBACNOR8,GLOBEX
ABRE11,unit_etf_fii,2011-07-26,2014-09-25,786,ABRE,BRABRECDAM15,ABRIL EDUCA
ACGU3,acao,2007-07-23,2010-08-12,755,ACGU,BRACGUACNOR6,GUARANI
RIPI4,acao,2005-01-03,2008-01-22,753,RIPI,BRRIPIACNPR0,IPIRANGA REF
SEBB11,unit_etf_fii,2007-10-18,2011-03-18,751,SEBB,BRSEBBCDAM13,SEB
BZLI11,unit_etf_fii,2019-08-20,2024-04-12,718,BZLI,BRBZLICTF003,FII BRREALTY
CTPC3,acao,2007-06-27,2012-01-04,714,CTPC,BRCTPCACNOR5,MARAMBAIA
PTPA4,acao,2005-01-07,2016-08-02,678,PTPA,BRPTPAACNPR8,PETROPAR
CMGR3,acao,2005-01-05,2015-02-04,673,CMGR,BRCMGRACNOR7,CEMAT
DUFB11,unit_etf_fii,2007-08-01,2010-04-19,668,DUFB,BRDUFBBDR008,DUFRYBRAS
CMGR4,acao,2005-01-06,2015-02-19,603,CMGR,BRCMGRACNPR4,CEMAT
RIPI3,acao,2005-01-05,2008-01-16,603,RIPI,BRRIPIACNOR3,IPIRANGA REF
GLOB4,acao,2005-01-05,2008-02-18,600,GLOB,BRGLOBACNPR5,GLOBEX
TARP11,unit_etf_fii,2007-08-01,2010-11-26,594,TARP,BRTARPBDR001,TARPON
ACES3,acao,2005-01-03,2008-04-18,580,ACES,BRACESACNOR5,ACESITA
FLCL5,acao,2005-01-03,2007-04-05,556,FLCL,BRFLCLACNPA7,F CATAGUAZES
BICB3,acao,2007-11-07,2015-09-24,549,BICB,BRBICBACNOR0,BICBANCO
DURA3,acao,2005-03-29,2009-10-07,541,DURA,BRDURAACNOR1,DURATEX
VIGR3,acao,2012-06-22,2016-08-08,537,VIGR,BRVIGRACNOR5,VIGOR FOOD
OGSA3,acao,2015-03-31,2017-09-20,529,OGSA,BROGSAACNOR5,NOVA OLEO
SGAS3,acao,2005-01-21,2017-06-23,506,SGAS,BRSGASACNOR6,SUPERGASBRAS
SATI3,acao,2007-09-21,2009-10-07,503,SATI,BRSATIACNOR0,SATIPEL
AVPL3,acao,2005-01-03,2007-07-31,494,AVPL,BRAVPLACNOR6,AVIPAL
PARC3,acao,2015-06-05,2017-05-02,472,PARC,BRPARCACNOR3,PARCORRETORA
IVTT3,acao,2007-07-16,2010-01-12,443,IVTT,BRIVTTACNOR4,INVEST TUR
IBOV11,unit_etf_fii,2005-02-16,2026-09-09,434,IBOV,BRIBOVINDM18,IBOVESPA
AORE3,acao,2011-05-11,2015-06-16,411,AORE,BRAOREACNOR2,ALL ORE
TEFC11,unit_etf_fii,2007-08-01,2011-07-22,378,TEFC,BRTEFCBDR014,TELEFONICA
BPAT11,unit_etf_fii,2007-08-01,2013-02-19,350,BPAT,BRBPATBDR005,PATAGONIA
LCSA3,acao,2006-08-25,2010-02-12,332,LCSA,BRLCSAACNOR0,PARMALAT
STOC31,acao,2021-06-28,2022-10-07,322,STOC,BRSTOCBDR008,
PRGA4,acao,2005-01-03,2006-04-11,318,PRGA,BRPRGAACNPR1,PERDIGAO S/A
TMAR6,acao,2005-01-05,2012-03-09,317,TMAR,BRTMARACNPB5,TELEMAR N L
TSPP3,acao,2005-01-03,2006-03-30,310,TSPP,BRTSPPACNOR3,TELESP CL PA
TSPP4,acao,2005-01-03,2006-03-30,310,TSPP,BRTSPPACNPR0,TELESP CL PA
TVIT3,acao,2009-09-28,2011-01-12,306,TVIT,BRTVITACNOR4,TIVIT
LATM11,unit_etf_fii,2012-06-25,2013-08-30,260,LATM,BRLATMBDR001,LATAM AIRLN
FLCL3,acao,2005-01-04,2007-04-05,256,FLCL,BRFLCLACNOR4,F CATAGUAZES
XPBR31,acao,2021-10-04,2022-10-07,254,XPBR,BRXPBRBDR001,
OSAO4,acao,2005-01-03,2006-02-02,244,OSAO,BROSAOACNPR6,PLASCAR PART
SWET3,acao,2015-06-17,2016-05-25,221,SWET,BRSWETACNOR3,SWEETCOSMET
REAG3,acao,2025-01-10,2025-12-02,220,REAG,BRREAGACNOR8,REAGINVEST
BELG4,acao,2005-01-03,2005-11-10,215,BELG,BRBELGACNPR6,BELGO MINEIR
BELG3,acao,2005-01-03,2005-12-22,205,BELG,BRBELGACNOR9,BELGO MINEIR
ABRE3,acao,2014-09-26,2015-07-27,205,ABRE,BRABREACNOR9,ABRIL EDUCA
MTBR4,acao,2005-01-03,2006-06-09,186,MTBR,BRMTBRACNPR9,MULTIBRAS
